id,tahun,bulan,scrap_value_kidr,total_value_kidr,target_rasio,created_at
68f500a9-1cee-418a-bfdb-651682bd0d88,2024,5,60933.91,10108466.5,0.0065,2026-07-22 03:30:08.878898+00
6e7dca61-89dd-4a9c-b042-1b0e9715fb03,2024,7,93366.03,16014855.092,0.0065,2026-07-22 03:30:08.878898+00
6ec08d88-d0b6-4653-83ce-ee9945b2201d,2026,4,62812.012,14717256.926,0.0046,2026-07-22 03:30:08.878898+00
84240449-63e8-4d75-b436-d60e7ce2bbf8,2025,1,88720.85,12137523.354,0.0065,2026-07-22 03:30:08.878898+00
845e87e6-f976-4039-9013-a5ad9aff22ec,2024,8,70001.858,11539409.546,0.0065,2026-07-22 03:30:08.878898+00
86a7e2fa-3b1a-4962-9bfe-e664904d2272,2025,12,64289.717,15080057.971,0.0065,2026-07-22 03:30:08.878898+00
8976d545-23f8-4da3-8fb4-8711af9093d7,2026,7,0,0,,2026-07-22 03:30:08.878898+00
8d6aa0d3-d418-4b2c-9889-84c6f4ef24d4,2026,11,0.0,0,,2026-07-22 03:30:08.878898+00
935b44e6-1fd4-432f-964b-fe974038b016,2026,12,0.0,0,,2026-07-22 03:30:08.878898+00
a430d37a-4bd8-43a6-8e09-9f979a59de89,2024,11,100905.271,14156751.313,0.0065,2026-07-22 03:30:08.878898+00
a5a59165-9122-4896-b0bc-3daa8c5baaab,2023,12,94686.255,15299718.089,0.0065,2026-07-22 03:30:08.878898+00
addeb8dd-8820-4ffd-9d19-12b1537d509c,2026,1,68939.858,18775125.477,0.0065,2026-07-22 03:30:08.878898+00
b1bde39a-0f24-4f5f-8e98-f1e9c22beac2,2023,6,84605.252,14136585.445,0.0065,2026-07-22 03:30:08.878898+00
b5736a99-b108-4d74-925c-ffd89c1f7fbb,2024,6,100775.106,16241226.07,0.0065,2026-07-22 03:30:08.878898+00
baa77bd2-99f9-44e1-8b6d-1386782c9f1a,2025,6,75053.092,14024076.92,0.0065,2026-07-22 03:30:08.878898+00
bd79c2ad-9a89-48b8-9eff-bc3260b024f8,2023,9,100460.147,14659284.268,0.0065,2026-07-22 03:30:08.878898+00
be5facf9-2de8-48da-8619-c74c8dfec471,2023,7,76780.704,11242540.106,0.0065,2026-07-22 03:30:08.878898+00
c0b84bb7-d1e9-420b-a904-47533641f2a4,2024,4,102327.39,16571989.482,0.0065,2026-07-22 03:30:08.878898+00
c1a3ecf6-a124-4bee-8bc7-ca1a11b45498,2026,10,0.0,0,,2026-07-22 03:30:08.878898+00
c92153f7-b0bd-4721-8d6d-0c770c2000af,2026,6,50636.311,10909105.437,0.0046,2026-07-22 03:30:08.878898+00
cf591783-38f5-4d3e-bb7b-f135d5898428,2024,12,98675.392,15121689.735,0.0065,2026-07-22 03:30:08.878898+00
d358e52b-e7f8-4b40-9d0a-0f5bcb58fc31,2027,3,0.0,0,,2026-07-22 03:30:08.878898+00
d444ca75-4aee-419a-acd5-78b5f8891bda,2023,11,84845.838,12449440.958,0.0065,2026-07-22 03:30:08.878898+00
d749acca-4d33-4cda-87e4-bc36a8a7038b,2025,11,63275.845,13079976.876,0.0065,2026-07-22 03:30:08.878898+00
ee276fd7-a69a-41b1-ac02-1cd18a3d6e97,2025,9,84412.051,15223987.275,0.0065,2026-07-22 03:30:08.878898+00
f3d5866d-ffd7-4c4b-a7e4-800ce446cb6f,2026,5,46923.763,10467986.444,0.0046,2026-07-22 03:30:08.878898+00
f59fc0a2-aee5-46db-99fb-7638d67ebde9,2023,4,84729.994,13100842.355,0.0065,2026-07-22 03:30:08.878898+00
f7d936fa-84ad-4d70-bcf9-978439f05978,2027,1,0.0,0,,2026-07-22 03:30:08.878898+00
