id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
6631012e-8518-45db-9dcd-512652a9a40a,transfer_2000t,59311-74U00/U10-001,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""59311-74U00""},{""line"":""tandem"",""part_number"":""59311-74U10""}]",null,0.22,1,72124.48,[]
12471086-0a04-4437-b3be-be9274334a40,transfer_2000t,59321-74U00-001,2026-07-17 06:35:11.487156+00,[],null,0.15043478260869564,1,52330.34,[]
73015526-39e2-4727-bed8-8eac4fb9e2d7,transfer_800t,68325-0D010-001,2026-07-22 03:29:50.645646+00,[],null,null,1,4670.57,[]
e513df40-a72f-45fd-9efb-e2f43dd5c676,transfer_800t,68326-0D010-001,2026-07-22 03:29:50.645646+00,[],null,null,1,4670.57,[]
9980ea92-2b53-4baa-8033-77fc123847b4,transfer_2000t,59711-74U00-001,2026-07-17 06:35:11.487156+00,[],null,0.15043478260869564,1,26941.73,[]
e356d57e-c777-47df-bbb0-2d8cb47ef178,transfer_2000t,61121-0D220-001,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,22265.62,[]
bfea3225-948b-47d2-b481-fc2f03ce89e8,transfer_2000t,61121-KK010-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,35614.19,[]
e09a27b4-a397-437f-964b-86c079e9c8bd,transfer_2000t,61122-0D200-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,60863.44,[]
1bfaa27b-ccc4-4118-911e-41da1a546ffe,transfer_2000t,61122-0D220-001,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,22265.62,[]
85e3de28-e7d8-4e33-9522-f8db43ec3057,transfer_2000t,61122-KK010-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,35614.19,[]
2414807c-5a69-4f26-860c-ccb6412c980c,transfer_2000t,61137-0D160-001,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,20557.35,[]
2d2c15cf-ca23-4b90-8ce1-2b8185eea975,transfer_2000t,61137-KK010,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,20448.68,[]
da46041e-d642-4fdf-acbd-0dc7ee60f181,transfer_2000t,61138-0D160-001,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,20557.35,[]
bc0d4f79-7038-4c32-9832-2eb3f5f88775,transfer_2000t,61138-KK010,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,20448.68,[]
cc5d67f5-dd26-4d5a-9faf-490653f58b84,transfer_2000t,61145-KK010,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,11010.47,[]
8047cfb6-6012-4f6d-8674-e50ccbe36316,transfer_2000t,61146-KK010,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,11010.47,[]
